RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31
395025,13,"Riverside, CA",Msa,CA,390000.0,392667.0,396000.0,402666.0,406633.0,409966.0,409933.0,406633.0,403300.0,399966.0,399633.0,398633.0,398333.0,398650.0,402983.0,408317.0,415000.0,419967.0,423300.0,423300.0,420000.0,416667.0,415000.0,414668.0,414668.0,418001.0,423000.0,426333.0,428000.0,434667.0,446333.0,461333.0,471667.0,480000.0,485000.0,490000.0,491663.0,493330.0,494963.0,506633.0,520633.0,534913.0,543213.0,547546.0,549966.0,551633.0,553113.0,553113.0,551477.0
394976,14,"Phoenix, AZ",Msa,AZ,332633.0,338467.0,346500.0,351767.0,354600.0,353233.0,349967.0,344965.0,341631.0,339631.0,339300.0,339300.0,341267.0,343933.0,347300.0,351667.0,355967.0,359300.0,359933.0,360965.0,362632.0,364332.0,366663.0,369963.0,375963.0,382600.0,389104.0,384737.0,379771.0,378300.0,388300.0,396633.0,399967.0,399967.0,399633.0,399600.0,401300.0,404267.0,411633.0,421633.0,435667.0,446997.0,456997.0,461997.0,466333.0,469667.0,474330.0,477963.0,481463.0
395078,15,"Seattle, WA",Msa,WA,508316.0,528316.0,559983.0,584967.0,598300.0,599633.0,592817.0,581167.0,568150.0,564650.0,562157.0,562157.0,564157.0,578300.0,601633.0,626633.0,642650.0,644333.0,636000.0,624167.0,617165.0,615492.0,617658.0,621310.0,631300.0,647967.0,663617.0,663300.0,660297.0,659993.0,668657.0,670493.0,663497.0,651817.0,639967.0,634966.0,638316.0,653333.0,668333.0,684983.0,696650.0,704980.0,704980.0,697647.0,694317.0,692667.0,691667.0,686665.0,691648.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,354952.0,372253.0,387854.0,393436.0,391702.0,384110.0,375442.0,368196.0,360222.0,356408.0,351520.0,351485.0,356998.0,369167.0,384768.0,393436.0,395169.0,388478.0,383177.0,374510.0,369066.0,362264.0,361831.0,361865.0,368803.0,379603.0,390000.0,393467.0,393329.0,393297.0,394996.0,393401.0,386502.0,378528.0,369895.0,369860.0,371274.0,379728.0,387948.0,392797.0,392963.0,389720.0,388053.0,383087.0,378333.0,374833.0,374833.0,380553.0,392353.0
395056,17,"San Diego, CA",Msa,CA,704633.0,721300.0,735967.0,749333.0,749633.0,749633.0,742633.0,725967.0,706267.0,689933.0,681633.0,676667.0,676333.0,681317.0,692983.0,713283.0,732967.0,745967.0,746333.0,746333.0,746333.0,745667.0,742667.0,742667.0,746000.0,755967.0,769967.0,770300.0,770000.0,781333.0,814667.0,838333.0,838175.0,827841.0,814475.0,811300.0,813300.0,830000.0,841667.0,855667.0,855633.0,855300.0,848967.0,845666.0,842333.0,842666.0,845966.0,849600.0,853233.0
395121,18,"St. Louis, MO",Msa,MO,190933.0,191267.0,196567.0,204933.0,213267.0,218267.0,219725.0,219425.0,219125.0,217667.0,214666.0,209966.0,206266.0,207900.0,216100.0,227800.0,237800.0,242967.0,243300.0,241633.0,239633.0,237933.0,234600.0,229933.0,228300.0,231633.0,237165.0,242165.0,248495.0,254630.0,259597.0,258630.0,256963.0,255230.0,253200.0,249867.0,248300.0,253333.0,262663.0,273963.0,277297.0,276300.0,268333.0,261500.0,254833.0,250833.0,247633.0,247600.0,249600.0
395148,19,"Tampa, FL",Msa,FL,269897.0,269897.0,271597.0,274967.0,280000.0,283333.0,283300.0,280467.0,277133.0,273833.0,271633.0,269300.0,268633.0,268633.0,272028.0,277695.0,285895.0,291169.0,292803.0,291303.0,289933.0,289633.0,287967.0,286000.0,283333.0,283330.0,284497.0,284163.0,285800.0,289633.0,296813.0,303510.0,308143.0,313963.0,315267.0,314300.0,308963.0,305163.0,307830.0,318467.0,334300.0,348300.0,360967.0,369300.0,375933.0,381282.0,388778.0,395145.0,398827.0
394358,20,"Baltimore, MD",Msa,MD,303233.0,299900.0,304933.0,313300.0,326633.0,337967.0,345967.0,345967.0,341600.0,335263.0,328630.0,319997.0,313333.0,311667.0,316667.0,327997.0,339663.0,347997.0,350000.0,349967.0,346600.0,341600.0,334633.0,327967.0,322933.0,323233.0,329933.0,339600.0,347967.0,356300.0,363167.0,364833.0,361500.0,357300.0,352300.0,347267.0,341600.0,345428.0,355428.0,365462.0,373267.0,374967.0,375950.0,369283.0,363950.0,355967.0,350833.0,344467.0,339800.0
394530,21,"Denver, CO",Msa,CO,"","","","","","","","",494667.0,487667.0,481000.0,477833.0,482333.0,493967.0,509133.0,519967.0,524967.0,523630.0,518630.0,510297.0,502967.0,497967.0,497967.0,501300.0,512376.0,529043.0,542709.0,545967.0,542667.0,543148.0,548815.0,552148.0,546587.0,534753.0,524337.0,522067.0,527233.0,537650.0,550000.0,566667.0,583333.0,598333.0,606650.0,609983.0,611317.0,613967.0,617633.0,623600.0,629290.0
394982,22,"Pittsburgh, PA",Msa,PA,171567.0,169900.0,173233.0,177267.0,182967.0,184667.0,183967.0,181600.0,179900.0,178267.0,175933.0,172633.0,170933.0,170933.0,175267.0,181933.0,189300.0,194800.0,198133.0,199467.0,198867.0,195533.0,190867.0,184967.0,183300.0,185967.0,192600.0,197600.0,204900.0,214900.0,227767.0,234433.0,234467.0,234633.0,234633.0,234633.0,234600.0,237633.0,244267.0,251300.0,256600.0,256633.0,249917.0,239917.0,233217.0,228267.0,224933.0,219967.0,216600.0
